id,en,jpn
ssed_lang,Lang(Framework),言語(フレームワーク)
ssed_command,Command,コマンド
ssed_vscheck,For VS2015-2019\x2c use jump tool.,vs2015～2019にて行ジャンプツールを使用する
ssed_vsdesc,Because Visual Studio 'jump to line number'\x2c \ncommand option does not work currently versions,表示中のVSに対して行番号へ移動が出来ないための措置。
ssed_cand,Editor candidates,エディタ候補
ssed_input,Input,入力
ssed_hist,History,履歴
ssed_readonly,Saving has been canceled because StateGo Data File is readonly.,セーブ先のStateGoデータファイルがリードオンリーです。
ssed_usebatch,Force to use batch to open editor,エディタ起動時にバッチを強制使用
ssed_usecmn,Use this editor for all languages,全言語で同一のエディターを使用
,,
anaonoff_syssm,Analytics ON/OFF,アナリティクス ON/OFF
anaonoff_desc,For future improvements\x2c Google Analytics are used for collecting usage time using. \n\nPlease set to OFF if you do not wish.,今後の改善のため、Google Analyticsによる利用時間の収集を行っています。\n\nご希望でない方はOFFに設定してください。
anaonoff_restart,The changes will affect after restarting.,再起動後に反映されます。
,,
deletall_filemenu,Reset,リセット
deleteall_ask,All states will be deleted then create START and END. Are you ok?,全てを削除して、STARTとENDのみにします。宜しいでしょうか？
deleteall_confirm,Confirmation,確認
,,
findd_title,Find states that contain a text,Find (テキストを含むステート検索)
findd_searchtext,Search text,検索文字列
findd_state,state\nname,ステート名
findd_contents,contents,コンテンツ
findd_others,others,その他
findd_all,all,全部
findd_caseignore,case ignore,大小文字無視
findd_word,word,単語
findd_regex,regex,正規表現
findd_result,Result,結果
findd_find,Find,検索
,,
ucus_dlgtitle,Set User Button,Set User Button(ユーザボタン設定)
ucus_title,Button's\ntitle,ボタン名
ucus_command,Command,コマンド
ucus_openfile,Open File,ファイル
ucus_pathexp,※ This tool will save the relative path of the command from the document path.,※ ドキュメントパスからの相対パスが保存されます。
ucus_callafter,Call after converting,変換後に呼ぶ
ucus_callafterexp,※ This command will be called right after converting a state machine to source.,※ソース変換後にコマンドを実行します。
,,
setlbl_title,Set Label,Set Label(ラベル設定)
setlbl_show,Show,表示
,,
srchf_title,Search StateGo File,Search StateGo File(StatGoファイル検索)
srchf_exp,Input a StateGo file name without both path and extention.,StateGoファイル名（パス・拡張子なし）を入力
srchf_search,Search,検索
,,
edsf_title,Edit State's name\x2c Comment and Reference,Edit State(ステート名/コメント/参照の編集)
edsf_state,State's name,ステート名
edsf_comment,Comment,コメント
edsf_clear,clear,消去
edsf_prfxstate,S_・・State,S_・・ステート
edsf_prfxembed,E_・・Embed code,E_・・組込みコード
edsf_prfxcmt,C_・・Comment out,C_・・コメントアウト
edsf_prfxnum,numberd,番号化
edsf_ref,Ref.,参照
edsf_open,Open,開く
,,
efbmp_title,Edit Thumbnail,Edit Thumbnail(サムネイル編集)
efbmp_load,LOAD,ロード
efbmp_paste,PASTE,ペースト
efbmp_delete,DELETE,削除
,,
cnff_title,Change Work Space,Change Work Space(作業スペース変更)
cnff_bmsize,Work Space Size,作業スペースサイズ
cnff_width,Width,幅
cnff_height,Height,高さ
cnff_affect_after_restart,Please restart StateGo to affect the setteings.,値の反映のため再スタートします。
cnff_must_not_dirty,Some values has been changed. Please save them or discard then enter again.,何かの値が変更されています。保存するか破棄して再度選択下さい。
,,
pmain_zoom,Zoom,ズーム
pmain_fillter,Fillter,フィルタ
,,
pctm_font,Font,フォント
pctm_size,Size,サイズ
pctm_statewh,State width / hight,ステート 幅/高さ
pctm_fontsize,Font\nsize,フォント\nサイズ
pctm_fixed,Fixed,固定
pctm_contentmaxh,Content\nmax height,コンテンツ最大高さ
pctm_linespace,Line space,ライン間隔
pctm_asminus,※ as minus,※正負逆
pctm_stateshortwh,Short State\nwidth / Height,短いステート  幅 / 高さ
pctm_adoptshort, na,na
pctm_linecolchg,Flow Line Color Change,フローライン色変更
pctm_init,INIT,初期化
pctm_reset,RESET,リセット
pctm_update,UPDATE,更新
pctm_cmtwh,Comment height,コメント 高さ
pctm_patn,Pattern,パターン
pctm_color,Color,色
psrc_line,Line:,行:
psrc_template,template,テンプレート
psrc_src,src,ソース
ebf_mode,Mode,モード
ebf_cond,Condition,条件
ebf_cmt,Comment,コメント 
ebf_auto,Auto Select,選択自動化
ebf_title,Edit Branch,Edit Branch(分岐編集)
,,
mvf_title,Change Group,Change Group(グループ変更)
mvf_path,Group Path,グループパス
mvf_comment,Comment,コメント
mvf_groupname,Path of the group the state (or the group) belongs to,ステート(またはグループ)が所属するパス
,,
cc_noworkdir,Copy Collection stopped because of nonexistent the work folder. But Paste will work.,作業フォルダがないためコピーコレクションが停止しました。ペーストには影響ありません。
cc_alreadyhas,The same target exists in the cache was updated.,既に同じものがキャッシュにあったので更新しました。
cc_madefiles,Copy Collection data files has been created.,コピーコレクション用のデータファイルが作成されました。
cc_notdelspec,Cannot delete this page for the specification,仕様によりこのページを削除できません。
cc_notdeldata,Cannot delete this page because some copy data exists.,このページにはデータが存在するため削除できません。
ccbtitle,CC Bitmap Update,CC Bitmap Update(ビットマップ更新)
ccbcap,Paste,貼り付け
ccctitle,Create Copy Collection Work Folder,CC Create Work Folder(作業フォルダ作成)
ccchead,Create [Copy Collection] Work Folder,コピーコレクション用作業フォルダの作成
cccdesc,Please create a working folder to use Copy Collection.\nThe working folder can only be placed in the same location as the StateGo file or in a location above it.\nPlease select from the box below.,コピーコレクションを利用するための作業フォルダを作成するフォルダパスを指定して下さい。作業フォルダは、StateGoファイルと同じ場所か、その上を辿った場所にのみ配置できます。\n以下のボックスより選択してください。
ccselectedpath,Selected Path,パス全体
ccwtitle,Copy Collection,CC (コピーコレクション)
ccwcol,Collection,コレクション
ccwca,Cache,キャッシュ
ccwtr,Trash,ゴミ箱
ccwed,Edit,編集
ccwda,del all,全削除
cceptitle,Edit Collection Pages,Edit Collection Pages(コレクションページ編集)
ccepetitle,Edit Title,Title編集
ccepecom,Edit Comment,Comment編集
ccepanew,Add New,新規追加
ccepdel,Delete,削除
ccepup,UP,上へ
ccepdown,Down,下へ
ccepcancel,Cancel,取り消し
cccopy,Copy,コピー
cccut,Cut,カット
ccpaste,Paste,ペースト
ccdelete,Delete,削除
ccedit,Edit,編集
ccebmp,Bitmap,ビットマップ
ccetitle,Title,タイトル
ccup,UP,上へ
ccdow,Down,下へ
cccnl,Cancel,取り消し
ccexplorer,Open store folder,格納フォルダを開く
cc_confirm,Confirm,確認
cc_deleteall,All items will be deleted.,全てのアイテムを削除します。
cc_allmove,All items will move to the trash page.,全てのアイテムをゴミ箱に移動します。
ccwps,Preset,プリセット
ccpresetdesc,Only the preset of the starter kit is being displayed.\nIf you want to edit it\x2c please create a CC work folder from Tools.,スタートキットのプリセットのみを表示中です。\n編集したい場合は、ツールよりCCワークフォルダを作成してください。
,,
setstartkitpath,"Specify the starter kit path.\n\n""Help panel"" and ""Copy Collection"" will be affected after reboot.",スタートキットのルートパスを設定します。\n\n再起動後に、ヘルプパネルとコピーコレクションに影響します。
,,
output_flowchart_html_msg,Convering to a flow chart using mermaid.\n[Procedures]\n1. Specift output html file\n2. Brawse it.,mermaidを利用してフローチャートへ変換します。\n【次のステップを実行します】\n１．出力ファイル(html)を指定\n２．ブラウザで開く
output_flowchart_html_warning,Save  or discard changed data before output the flow chart.,変更したデータを保存するか、破棄した後に実行してください。
